time,active_time,evaluations,iterations,nodes,step_size
0,0,0,0,0,0
10,0,10,8,35937,10
18,0,15,3,35937,8
26,0,20,3,35937,8
34,0,25,3,35937,8
42,0,30,3,35937,8
50,0,35,3,35937,8
58,0,40,3,35937,8
66,0,46,4,35937,8
74,0,52,4,35937,8
82,0,58,4,35937,8
90,0,64,4,35937,8
98,0,70,4,35937,8
106,0,76,4,35937,8
114,0,82,4,35937,8
122,0,88,4,35937,8
130,0,94,4,35937,8
138,0,99,3,35937,8
150,0,105,4,35937,12
162,0,111,4,35937,12
174,0,117,4,35937,12
186,0,123,4,35937,12
198,0,129,4,35937,12
210,0,135,4,35937,12
222,0,141,4,35937,12
234,0,147,4,35937,12
246,0,153,4,35937,12
258,0,159,4,35937,12
270,0,165,4,35937,12
282,0,171,4,35937,12
294,0,176,3,35937,12
312,0,182,4,35937,18
330,0,188,4,35937,18
348,0,194,4,35937,18
366,0,200,4,35937,18
384,0,206,4,35937,18
402,0,212,4,35937,18
420,0,218,4,35937,18
438,0,224,4,35937,18
456,0,230,4,35937,18
474,0,236,4,35937,18
492,0,242,4,35937,18
510,0,248,4,35937,18
528,0,254,4,35937,18
546,0,260,4,35937,18
564,0,266,4,35937,18
582,0,272,4,35937,18
600,0,278,4,35937,18
618,0,284,4,35937,18
636,0,290,4,35937,18
654,0,296,4,35937,18
672,0,302,4,35937,18
690,0,308,4,35937,18
708,0,313,3,35937,18
735,0,319,4,35937,27
762,0,325,4,35937,27
789,0,331,4,35937,27
816,0,337,4,35937,27
843,0,343,4,35937,27
870,0,349,4,35937,27
897,0,355,4,35937,27
924,0,361,4,35937,27
951,0,367,4,35937,27
978,0,373,4,35937,27
1005,0,379,4,35937,27
1032,0,385,4,35937,27
1059,0,391,4,35937,27
1086,0,397,4,35937,27
1113,0,403,4,35937,27
1140,0,409,4,35937,27
1167,0,415,4,35937,27
1194,0,421,4,35937,27
1221,0,427,4,35937,27
1248,0,433,4,35937,27
1275,0,439,4,35937,27
1302,0,445,4,35937,27
1329,0,451,4,35937,27
1356,0,457,4,35937,27
1383,0,463,4,35937,27
1410,0,469,4,35937,27
1437,0,475,4,35937,27
1464,0,481,4,35937,27
1491,0,486,3,35937,27
1518,0,491,3,35937,27
1545,0,496,3,35937,27
1572,0,501,3,35937,27
1599,0,507,4,35937,27
1626,0,513,4,35937,27
1653,0,519,4,35937,27
1680,0,525,4,35937,27
1707,0,531,4,35937,27
1734,0,536,3,35937,27
1761,0,541,3,35937,27
1788,0,546,3,35937,27
1815,0,551,3,35937,27
1842,0,557,4,35937,27
1869,0,563,4,35937,27
1896,0,569,4,35937,27
1923,0,575,4,35937,27
1950,0,581,4,35937,27
1977,0,586,3,35937,27
2004,0,592,4,35937,27
2031,0,598,4,35937,27
2058,0,604,4,35937,27
2085,0,610,4,35937,27
2112,0,616,4,35937,27
2139,0,622,4,35937,27
2166,0,628,4,35937,27
2193,0,634,4,35937,27
2220,0,640,4,35937,27
2247,0,646,4,35937,27
2274,0,652,4,35937,27
2301,0,658,4,35937,27
2328,0,664,4,35937,27
2355,0,670,4,35937,27
2382,0,676,4,35937,27
2409,0,682,4,35937,27
2436,0,688,4,35937,27
2463,0,694,4,35937,27
2490,0,700,4,35937,27
2517,0,706,4,35937,27
2544,0,711,3,35937,27
2571,0,716,3,35937,27
2598,0,722,4,35937,27
2625,0,728,4,35937,27
2652,0,734,4,35937,27
2679,0,740,4,35937,27
2706,0,746,4,35937,27
2733,0,752,4,35937,27
2760,0,758,4,35937,27
2787,0,764,4,35937,27
2814,0,770,4,35937,27
2841,0,776,4,35937,27
2868,0,782,4,35937,27
2895,0,788,4,35937,27
2922,0,793,3,35937,27
2949,0,798,3,35937,27
2976,0,803,3,35937,27
3003,0,808,3,35937,27
3030,0,813,3,35937,27
3057,0,819,4,35937,27
3084,0,825,4,35937,27
3111,0,831,4,35937,27
3138,0,837,4,35937,27
3165,0,842,3,35937,27
3192,0,847,3,35937,27
3219,0,852,3,35937,27
3246,0,857,3,35937,27
3273,0,862,3,35937,27
3300,0,867,3,35937,27
3327,0,873,4,35937,27
3354,0,879,4,35937,27
3381,0,885,4,35937,27
3408,0,890,3,35937,27
3435,0,895,3,35937,27
3462,0,900,3,35937,27
3489,0,905,3,35937,27
3516,0,910,3,35937,27
3543,0,915,3,35937,27
3570,0,920,3,35937,27
3597,0,925,3,35937,27
3624,0,930,3,35937,27
3651,0,935,3,35937,27
3678,0,940,3,35937,27
3705,0,945,3,35937,27
3732,0,950,3,35937,27
3759,0,955,3,35937,27
3786,0,960,3,35937,27
3813,0,965,3,35937,27
3840,0,970,3,35937,27
3867,0,975,3,35937,27
3894,0,981,4,35937,27
3921,0,987,4,35937,27
3948,0,992,3,35937,27
3975,0,997,3,35937,27
4002,0,1002,3,35937,27
4029,0,1007,3,35937,27
4056,0,1012,3,35937,27
4083,0,1017,3,35937,27
4110,0,1022,3,35937,27
4137,0,1027,3,35937,27
4164,0,1032,3,35937,27
4191,0,1037,3,35937,27
4218,0,1042,3,35937,27
4245,0,1047,3,35937,27
4272,0,1052,3,35937,27
4299,0,1057,3,35937,27
4326,0,1062,3,35937,27
4353,0,1067,3,35937,27
4380,0,1072,3,35937,27
4407,0,1077,3,35937,27
4434,0,1082,3,35937,27
4461,0,1087,3,35937,27
4488,0,1092,3,35937,27
4515,0,1097,3,35937,27
4542,0,1102,3,35937,27
4569,0,1107,3,35937,27
4596,0,1112,3,35937,27
4623,0,1117,3,35937,27
4650,0,1122,3,35937,27
4677,0,1127,3,35937,27
4704,0,1132,3,35937,27
4731,0,1137,3,35937,27
4758,0,1142,3,35937,27
4785,0,1147,3,35937,27
4812,0,1152,3,35937,27
4839,0,1157,3,35937,27
4866,0,1163,4,35937,27
4893,0,1169,4,35937,27
4920,0,1174,3,35937,27
4947,0,1179,3,35937,27
4974,0,1184,3,35937,27
5001,0,1189,3,35937,27
5028,0,1194,3,35937,27
5055,0,1199,3,35937,27
5082,0,1204,3,35937,27
5109,0,1209,3,35937,27
5136,0,1214,3,35937,27
5163,0,1219,3,35937,27
5190,0,1224,3,35937,27
5217,0,1229,3,35937,27
5244,0,1235,4,35937,27
5271,0,1241,4,35937,27
5298,0,1247,4,35937,27
5325,0,1253,4,35937,27
5352,0,1258,3,35937,27
5379,0,1263,3,35937,27
5406,0,1268,3,35937,27
5433,0,1273,3,35937,27
5460,0,1278,3,35937,27
5487,0,1283,3,35937,27
5514,0,1288,3,35937,27
5541,0,1293,3,35937,27
5568,0,1298,3,35937,27
5595,0,1303,3,35937,27
5622,0,1308,3,35937,27
5649,0,1313,3,35937,27
5676,0,1318,3,35937,27
5703,0,1323,3,35937,27
5730,0,1328,3,35937,27
5757,0,1333,3,35937,27
5784,0,1338,3,35937,27
5811,0,1343,3,35937,27
5838,0,1348,3,35937,27
5865,0,1353,3,35937,27
5892,0,1358,3,35937,27
5919,0,1363,3,35937,27
5946,0,1368,3,35937,27
5973,0,1373,3,35937,27
6000,0,1378,3,35937,27
6027,0,1383,3,35937,27
6054,0,1388,3,35937,27
6081,0,1393,3,35937,27
6108,0,1398,3,35937,27
6135,0,1403,3,35937,27
6162,0,1408,3,35937,27
6189,0,1413,3,35937,27
6216,0,1418,3,35937,27
6243,0,1423,3,35937,27
6270,0,1428,3,35937,27
6297,0,1433,3,35937,27
6324,0,1438,3,35937,27
6351,0,1443,3,35937,27
6378,0,1448,3,35937,27
6405,0,1453,3,35937,27
6432,0,1458,3,35937,27
6459,0,1463,3,35937,27
6486,0,1468,3,35937,27
6513,0,1473,3,35937,27
6540,0,1478,3,35937,27
6567,0,1483,3,35937,27
6594,0,1488,3,35937,27
6621,0,1493,3,35937,27
6648,0,1498,3,35937,27
6675,0,1503,3,35937,27
6702,0,1508,3,35937,27
6729,0,1513,3,35937,27
6756,0,1518,3,35937,27
6783,0,1523,3,35937,27
6810,0,1528,3,35937,27
6837,0,1533,3,35937,27
6864,0,1538,3,35937,27
6891,0,1543,3,35937,27
6918,0,1548,3,35937,27
6945,0,1553,3,35937,27
6972,0,1558,3,35937,27
6999,0,1563,3,35937,27
7026,0,1568,3,35937,27
7053,0,1573,3,35937,27
7080,0,1578,3,35937,27
7107,0,1583,3,35937,27
7134,0,1588,3,35937,27
7161,0,1593,3,35937,27
7188,0,1598,3,35937,27
7215,0,1603,3,35937,27
7242,0,1609,4,35937,27
7269,0,1615,4,35937,27
7296,0,1620,3,35937,27
7323,0,1625,3,35937,27
7350,0,1630,3,35937,27
7377,0,1635,3,35937,27
7404,0,1640,3,35937,27
7431,0,1646,4,35937,27
7458,0,1651,3,35937,27
7485,0,1657,4,35937,27
7512,0,1662,3,35937,27
7539,0,1667,3,35937,27
7566,0,1672,3,35937,27
7593,0,1677,3,35937,27
7620,0,1682,3,35937,27
7647,0,1687,3,35937,27
7674,0,1692,3,35937,27
7701,0,1697,3,35937,27
7728,0,1702,3,35937,27
7755,0,1707,3,35937,27
7782,0,1712,3,35937,27
7809,0,1717,3,35937,27
7836,0,1722,3,35937,27
7863,0,1727,3,35937,27
7890,0,1732,3,35937,27
7917,0,1737,3,35937,27
7944,0,1742,3,35937,27
7971,0,1747,3,35937,27
7998,0,1752,3,35937,27
8025,0,1757,3,35937,27
8052,0,1762,3,35937,27
8079,0,1767,3,35937,27
8106,0,1772,3,35937,27
8133,0,1777,3,35937,27
8160,0,1782,3,35937,27
8187,0,1787,3,35937,27
8214,0,1792,3,35937,27
8241,0,1797,3,35937,27
8268,0,1802,3,35937,27
8295,0,1807,3,35937,27
8322,0,1812,3,35937,27
8349,0,1817,3,35937,27
8376,0,1822,3,35937,27
8403,0,1827,3,35937,27
8430,0,1832,3,35937,27
8457,0,1837,3,35937,27
8484,0,1842,3,35937,27
8511,0,1847,3,35937,27
8538,0,1852,3,35937,27
8565,0,1857,3,35937,27
8592,0,1862,3,35937,27
8619,0,1867,3,35937,27
8646,0,1872,3,35937,27
8673,0,1877,3,35937,27
8700,0,1882,3,35937,27
8727,0,1887,3,35937,27
8754,0,1892,3,35937,27
8781,0,1897,3,35937,27
8808,0,1902,3,35937,27
8835,0,1907,3,35937,27
8862,0,1912,3,35937,27
8889,0,1917,3,35937,27
8916,0,1923,4,35937,27
8943,0,1929,4,35937,27
8970,0,1935,4,35937,27
8997,0,1941,4,35937,27
9024,0,1946,3,35937,27
9051,0,1951,3,35937,27
9078,0,1956,3,35937,27
9105,0,1961,3,35937,27
9132,0,1966,3,35937,27
9159,0,1971,3,35937,27
9186,0,1976,3,35937,27
9213,0,1981,3,35937,27
9240,0,1986,3,35937,27
9267,0,1991,3,35937,27
9294,0,1996,3,35937,27
9321,0,2001,3,35937,27
9348,0,2006,3,35937,27
9375,0,2011,3,35937,27
9402,0,2016,3,35937,27
9429,0,2022,4,35937,27
9456,0,2028,4,35937,27
9483,0,2034,4,35937,27
9510,0,2040,4,35937,27
9537,0,2046,4,35937,27
9564,0,2052,4,35937,27
9591,0,2058,4,35937,27
9618,0,2064,4,35937,27
9645,0,2069,3,35937,27
9672,0,2074,3,35937,27
9699,0,2079,3,35937,27
9726,0,2084,3,35937,27
9753,0,2089,3,35937,27
9780,0,2094,3,35937,27
9807,0,2099,3,35937,27
9834,0,2104,3,35937,27
9861,0,2109,3,35937,27
9888,0,2114,3,35937,27
9915,0,2119,3,35937,27
9942,0,2124,3,35937,27
9969,0,2129,3,35937,27
9996,0,2135,4,35937,27
10023,0,2141,4,35937,27
10050,0,2147,4,35937,27
10077,0,2152,3,35937,27
10104,0,2157,3,35937,27
10131,0,2162,3,35937,27
10158,0,2167,3,35937,27
10185,0,2172,3,35937,27
10212,0,2177,3,35937,27
10239,0,2182,3,35937,27
10266,0,2187,3,35937,27
10293,0,2192,3,35937,27
10320,0,2197,3,35937,27
10347,0,2202,3,35937,27
10374,0,2207,3,35937,27
10401,0,2212,3,35937,27
10428,0,2217,3,35937,27
10455,0,2222,3,35937,27
10482,0,2227,3,35937,27
10509,0,2232,3,35937,27
10536,0,2237,3,35937,27
10563,0,2242,3,35937,27
10590,0,2247,3,35937,27
10617,0,2252,3,35937,27
10644,0,2257,3,35937,27
10671,0,2262,3,35937,27
10698,0,2267,3,35937,27
10725,0,2272,3,35937,27
10752,0,2277,3,35937,27
10779,0,2282,3,35937,27
10806,0,2287,3,35937,27
10833,0,2292,3,35937,27
10860,0,2297,3,35937,27
10887,0,2302,3,35937,27
10914,0,2307,3,35937,27
10941,0,2312,3,35937,27
10968,0,2317,3,35937,27
10995,0,2322,3,35937,27
11022,0,2327,3,35937,27
11049,0,2332,3,35937,27
11076,0,2337,3,35937,27
11103,0,2342,3,35937,27
11130,0,2347,3,35937,27
11157,0,2352,3,35937,27
11184,0,2357,3,35937,27
11211,0,2362,3,35937,27
11238,0,2367,3,35937,27
11265,0,2372,3,35937,27
11292,0,2377,3,35937,27
11319,0,2382,3,35937,27
11346,0,2387,3,35937,27
11373,0,2392,3,35937,27
11400,0,2397,3,35937,27
11427,0,2402,3,35937,27
11454,0,2407,3,35937,27
11481,0,2412,3,35937,27
11508,0,2417,3,35937,27
11535,0,2422,3,35937,27
11562,0,2427,3,35937,27
11589,0,2432,3,35937,27
11616,0,2437,3,35937,27
11643,0,2442,3,35937,27
11670,0,2447,3,35937,27
11697,0,2452,3,35937,27
11724,0,2457,3,35937,27
11751,0,2462,3,35937,27
11778,0,2467,3,35937,27
11805,0,2472,3,35937,27
11832,0,2477,3,35937,27
11859,0,2482,3,35937,27
11886,0,2487,3,35937,27
11913,0,2492,3,35937,27
11940,0,2497,3,35937,27
11967,0,2502,3,35937,27
11994,0,2507,3,35937,27
12021,0,2512,3,35937,27
12048,0,2517,3,35937,27
12075,0,2522,3,35937,27
12102,0,2527,3,35937,27
12129,0,2532,3,35937,27
12156,0,2537,3,35937,27
12183,0,2542,3,35937,27
12210,0,2547,3,35937,27
12237,0,2552,3,35937,27
12264,0,2557,3,35937,27
12291,0,2562,3,35937,27
12318,0,2567,3,35937,27
12345,0,2572,3,35937,27
12372,0,2577,3,35937,27
12399,0,2582,3,35937,27
12426,0,2587,3,35937,27
12453,0,2592,3,35937,27
12480,0,2597,3,35937,27
12507,0,2602,3,35937,27
12534,0,2607,3,35937,27
12561,0,2612,3,35937,27
12588,0,2617,3,35937,27
12615,0,2622,3,35937,27
12642,0,2627,3,35937,27
12669,0,2632,3,35937,27
12696,0,2638,4,35937,27
12723,0,2644,4,35937,27
12750,0,2650,4,35937,27
12777,0,2655,3,35937,27
12804,0,2660,3,35937,27
12831,0,2665,3,35937,27
12858,0,2670,3,35937,27
12885,0,2675,3,35937,27
12912,0,2680,3,35937,27
12939,0,2685,3,35937,27
12966,0,2690,3,35937,27
12993,0,2695,3,35937,27
13020,0,2700,3,35937,27
13047,0,2705,3,35937,27
13074,0,2711,4,35937,27
13101,0,2717,4,35937,27
13128,0,2723,4,35937,27
13155,0,2729,4,35937,27
13182,0,2735,4,35937,27
13209,0,2741,4,35937,27
13236,0,2747,4,35937,27
13263,0,2752,3,35937,27
13290,0,2757,3,35937,27
13317,0,2762,3,35937,27
13344,0,2767,3,35937,27
13371,0,2772,3,35937,27
13398,0,2777,3,35937,27
13425,0,2782,3,35937,27
13452,0,2787,3,35937,27
13479,0,2792,3,35937,27
13506,0,2797,3,35937,27
13533,0,2802,3,35937,27
13560,0,2807,3,35937,27
13587,0,2812,3,35937,27
13614,0,2817,3,35937,27
13641,0,2822,3,35937,27
13668,0,2827,3,35937,27
13695,0,2832,3,35937,27
13722,0,2837,3,35937,27
13749,0,2842,3,35937,27
13776,0,2847,3,35937,27
13803,0,2852,3,35937,27
13830,0,2857,3,35937,27
13857,0,2862,3,35937,27
13884,0,2867,3,35937,27
13911,0,2872,3,35937,27
13938,0,2877,3,35937,27
13965,0,2882,3,35937,27
13992,0,2887,3,35937,27
14019,0,2892,3,35937,27
14046,0,2897,3,35937,27
14073,0,2902,3,35937,27
14100,0,2907,3,35937,27
14127,0,2912,3,35937,27
14154,0,2917,3,35937,27
14181,0,2922,3,35937,27
14208,0,2927,3,35937,27
14235,0,2932,3,35937,27
14262,0,2937,3,35937,27
14289,0,2942,3,35937,27
14316,0,2947,3,35937,27
14343,0,2952,3,35937,27
14370,0,2957,3,35937,27
14397,0,2962,3,35937,27
14424,0,2967,3,35937,27
14451,0,2972,3,35937,27
14478,0,2977,3,35937,27
14505,0,2982,3,35937,27
14532,0,2987,3,35937,27
14559,0,2992,3,35937,27
14586,0,2997,3,35937,27
14613,0,3002,3,35937,27
14640,0,3007,3,35937,27
14667,0,3012,3,35937,27
14694,0,3017,3,35937,27
14721,0,3022,3,35937,27
14748,0,3027,3,35937,27
14775,0,3032,3,35937,27
14802,0,3037,3,35937,27
14829,0,3042,3,35937,27
14856,0,3047,3,35937,27
14883,0,3052,3,35937,27
14910,0,3057,3,35937,27
14937,0,3062,3,35937,27
14964,0,3067,3,35937,27
14991,0,3072,3,35937,27
15018,0,3077,3,35937,27
15045,0,3082,3,35937,27
15072,0,3087,3,35937,27
15099,0,3092,3,35937,27
15126,0,3097,3,35937,27
15153,0,3102,3,35937,27
15180,0,3107,3,35937,27
15207,0,3112,3,35937,27
15234,0,3117,3,35937,27
15261,0,3122,3,35937,27
15288,0,3127,3,35937,27
15315,0,3132,3,35937,27
15342,0,3137,3,35937,27
15369,0,3142,3,35937,27
15396,0,3147,3,35937,27
15423,0,3152,3,35937,27
15450,0,3157,3,35937,27
15477,0,3162,3,35937,27
15504,0,3167,3,35937,27
15531,0,3172,3,35937,27
15558,0,3177,3,35937,27
15585,0,3182,3,35937,27
15612,0,3187,3,35937,27
15639,0,3192,3,35937,27
15666,0,3197,3,35937,27
15693,0,3202,3,35937,27
15720,0,3207,3,35937,27
15747,0,3212,3,35937,27
15774,0,3217,3,35937,27
15801,0,3222,3,35937,27
15828,0,3227,3,35937,27
15855,0,3232,3,35937,27
15882,0,3237,3,35937,27
15909,0,3242,3,35937,27
15936,0,3247,3,35937,27
15963,0,3252,3,35937,27
15990,0,3257,3,35937,27
16017,0,3262,3,35937,27
16044,0,3267,3,35937,27
16071,0,3272,3,35937,27
16098,0,3277,3,35937,27
16125,0,3282,3,35937,27
16152,0,3287,3,35937,27
16179,0,3292,3,35937,27
16206,0,3297,3,35937,27
16233,0,3302,3,35937,27
16260,0,3307,3,35937,27
16287,0,3312,3,35937,27
16314,0,3317,3,35937,27
16341,0,3322,3,35937,27
16368,0,3327,3,35937,27
16395,0,3332,3,35937,27
16422,0,3337,3,35937,27
16449,0,3342,3,35937,27
16476,0,3347,3,35937,27
16503,0,3352,3,35937,27
16530,0,3357,3,35937,27
16557,0,3362,3,35937,27
16584,0,3367,3,35937,27
16611,0,3372,3,35937,27
16638,0,3377,3,35937,27
16665,0,3382,3,35937,27
16692,0,3387,3,35937,27
16719,0,3392,3,35937,27
16746,0,3397,3,35937,27
